year,weeksofar,id,team,massey,normalizedMassey
2016,3,20,New Orleans Saints Offense,-1.016537965,0.1983599434
2016,3,16,Kansas City Chiefs Offense,-1.035297641,0.1941205462
2016,3,2,Atlanta Falcons Offense,-1.049716483,0.1908621106
2016,3,18,Minnesota Vikings Offense,-1.124521336,0.1739573687
2016,3,11,Detroit Lions Offense,-1.203424189,0.1561265419
2016,3,14,Indianapolis Colts Offense,-1.25073924,0.1454340708
2016,3,29,Seattle Seahawks Offense,-1.252997435,0.1449237536
2016,3,57,Pittsburgh Steelers Defense,-1.291164273,0.1362986375
2016,3,3,Baltimore Ravens Offense,-1.396469277,0.1125013322
2016,3,5,Carolina Panthers Offense,-1.521892487,0.08415762304
2016,3,1,Arizona Cardinals Offense,-1.731679386,0.03674902231
2016,3,17,Miami Dolphins Offense,-1.736778049,0.0355968032
2016,3,13,Houston Texans Offense,-1.777696011,0.02634997544
2016,3,24,Philadelphia Eagles Offense,-1.859841381,0.007786390095
2016,3,7,Cincinnati Bengals Offense,-1.888062649,0.0014088191
2016,3,32,Washington Commanders Offense,-1.894296788,0
2016,4,50,Minnesota Vikings Defense,2.260751934,1
2016,4,36,Buffalo Bills Defense,1.736310609,0.8754564395
2016,4,61,Seattle Seahawks Defense,1.726854114,0.873210725
2016,4,44,Green Bay Packers Defense,1.41585233,0.7993544751
2016,4,56,Philadelphia Eagles Defense,1.338680915,0.7810279201
2016,4,52,New Orleans Saints Defense,1.323710191,0.7774726944
2016,4,33,Arizona Cardinals Defense,1.278339413,0.7666981084
2016,4,42,Denver Broncos Defense,1.251432102,0.7603081994
2016,4,37,Carolina Panthers Defense,1.200024539,0.7481000064
2016,4,45,Houston Texans Defense,1.138918533,0.7335886412
2016,4,64,Washington Commanders Defense,1.133995068,0.7324194239
2016,4,39,Cincinnati Bengals Defense,1.113468095,0.7275447084
2016,4,35,Baltimore Ravens Defense,1.084757754,0.7207266185
2016,4,49,Miami Dolphins Defense,1.014794155,0.7041117651
2016,4,58,Los Angeles Rams Defense,0.9001984269,0.6768977389
2016,4,47,Jacksonville Jaguars Defense,0.866900499,0.6689901955
2016,4,55,Las Vegas Raiders Defense,0.8363727763,0.6617405165
2016,4,46,Indianapolis Colts Defense,0.7221915812,0.634624933
2016,4,41,Dallas Cowboys Defense,0.7109714231,0.6319603862
2016,4,63,Tennessee Titans Defense,0.665411383,0.6211408544
2016,4,34,Atlanta Falcons Defense,0.6123409375,0.6085377624
2016,4,62,Tampa Bay Buccaneers Defense,0.6063922821,0.6071250844
2016,4,60,San Francisco 49ers Defense,0.5510772771,0.5939889578
2016,4,54,New York Jets Defense,0.5351888481,0.5902157968
2016,4,23,Las Vegas Raiders Offense,0.4918982913,0.5799352186
2016,4,43,Detroit Lions Defense,0.4792049254,0.5769208166
2016,4,21,New York Giants Offense,0.4352195789,0.5664752407
2016,4,28,San Francisco 49ers Offense,0.4293912509,0.5650911379
2016,4,51,New England Patriots Defense,0.4155881225,0.5618131911
2016,4,40,Cleveland Browns Defense,0.3197807765,0.5390610024
2016,4,48,Kansas City Chiefs Defense,0.2746666108,0.5283473562
2016,4,53,New York Giants Defense,0.2456344865,0.5214528497
2016,4,59,Los Angeles Chargers Defense,0.1559949034,0.5001653723
2016,4,38,Chicago Bears Defense,0.1066782572,0.4884537271
2016,4,31,Tennessee Titans Offense,-0.1386702078,0.4301887318
2016,4,12,Green Bay Packers Offense,-0.1757748472,0.4213771762
2016,4,19,New England Patriots Offense,-0.2158642974,0.411856792
2016,4,22,New York Jets Offense,-0.2798020427,0.3966729496
2016,4,26,Los Angeles Rams Offense,-0.3698809283,0.3752811473
2016,4,4,Buffalo Bills Offense,-0.3761460905,0.3737933057
2016,4,2,Atlanta Falcons Offense,-0.4584147279,0.3542562698
2016,4,9,Dallas Cowboys Offense,-0.5356064528,0.3359248916
2016,4,57,Pittsburgh Steelers Defense,-0.5375607325,0.3354607922
2016,4,25,Pittsburgh Steelers Offense,-0.6789063279,0.3018942465
2016,4,10,Denver Broncos Offense,-0.6874126255,0.2998741833
2016,4,15,Jacksonville Jaguars Offense,-0.8411726579,0.2633594752
2016,4,18,Minnesota Vikings Offense,-0.8509057403,0.261048077
2016,4,20,New Orleans Saints Offense,-0.9805929241,0.2302501539
2016,4,27,Los Angeles Chargers Offense,-1.03338078,0.217714171
2016,4,6,Chicago Bears Offense,-1.074384401,0.2079766909
2016,4,3,Baltimore Ravens Offense,-1.088468835,0.2046319401
2016,4,8,Cleveland Browns Offense,-1.104952527,0.2007174169
2016,4,11,Detroit Lions Offense,-1.156931612,0.1883734996
2016,4,7,Cincinnati Bengals Offense,-1.198106232,0.1785954111
2016,4,1,Arizona Cardinals Offense,-1.28970839,0.1568418643
2016,4,24,Philadelphia Eagles Offense,-1.3770739,0.1360944305
2016,4,5,Carolina Panthers Offense,-1.397377187,0.1312728354
2016,4,13,Houston Texans Offense,-1.437635407,0.1217123722
2016,4,17,Miami Dolphins Offense,-1.489319223,0.109438575
2016,4,32,Washington Commanders Offense,-1.531730937,0.09936670311
2016,4,30,Tampa Bay Buccaneers Offense,-1.61088903,0.08056835461
2016,4,29,Seattle Seahawks Offense,-1.643902323,0.07272840594
2016,4,14,Indianapolis Colts Offense,-1.868266143,0.01944681358
2016,4,16,Kansas City Chiefs Offense,-1.950154862,0
2016,5,50,Minnesota Vikings Defense,2.546571385,1
2016,5,44,Green Bay Packers Defense,1.787036359,0.8321944422
2016,5,33,Arizona Cardinals Defense,1.569867743,0.7842149556
2016,5,42,Denver Broncos Defense,1.533126481,0.7760976367
2016,5,36,Buffalo Bills Defense,1.418494547,0.7507717795
2016,5,45,Houston Texans Defense,1.395231369,0.7456322002
2016,5,56,Philadelphia Eagles Defense,1.348322629,0.7352685606
2016,5,61,Seattle Seahawks Defense,1.204335333,0.7034571659
2016,5,52,New Orleans Saints Defense,1.160390158,0.6937482725
2016,5,34,Atlanta Falcons Defense,1.144078273,0.6901444558
2016,5,64,Washington Commanders Defense,1.124863499,0.6858992983
2016,5,35,Baltimore Ravens Defense,0.9617387092,0.6498598196
2016,5,47,Jacksonville Jaguars Defense,0.9084061572,0.6380769547
2016,5,49,Miami Dolphins Defense,0.8784321574,0.6314547403
2016,5,58,Los Angeles Rams Defense,0.8306365226,0.6208951573
2016,5,63,Tennessee Titans Defense,0.8201657921,0.6185818384
2016,5,41,Dallas Cowboys Defense,0.7960337833,0.6132503065
2016,5,55,Las Vegas Raiders Defense,0.6890983206,0.5896248457
2016,5,59,Los Angeles Chargers Defense,0.683210627,0.5883240661
2016,5,37,Carolina Panthers Defense,0.5898454802,0.5676967217
2016,5,60,San Francisco 49ers Defense,0.5792025489,0.5653453581
2016,5,43,Detroit Lions Defense,0.5577816854,0.5606128049
2016,5,39,Cincinnati Bengals Defense,0.5463164593,0.5580797701
2016,5,46,Indianapolis Colts Defense,0.522588529,0.5528375121
2016,5,53,New York Giants Defense,0.5081041799,0.5496374565
2016,5,54,New York Jets Defense,0.4563306915,0.5381990385
2016,5,40,Cleveland Browns Defense,0.4264661038,0.5316009968
2016,5,38,Chicago Bears Defense,0.3280437192,0.509856347
2016,5,23,Las Vegas Raiders Offense,0.3152050918,0.507019884
2016,5,57,Pittsburgh Steelers Defense,0.3000459255,0.5036707397
2016,5,21,New York Giants Offense,0.2778435768,0.4987655315
2016,5,51,New England Patriots Defense,0.2296296639,0.4881135375
2016,5,31,Tennessee Titans Offense,0.1050893635,0.4605986055
2016,5,48,Kansas City Chiefs Defense,0.01520392307,0.4407400395
2016,5,62,Tampa Bay Buccaneers Defense,0.005086991115,0.4385048859
2016,5,28,San Francisco 49ers Offense,-0.08265232751,0.4191204668
2016,5,12,Green Bay Packers Offense,-0.1098622482,0.4131089258
2016,5,19,New England Patriots Offense,-0.2186542359,0.3890732994
2016,5,9,Dallas Cowboys Offense,-0.3848933987,0.3523457562
2016,5,4,Buffalo Bills Offense,-0.4137132339,0.3459785337
2016,5,26,Los Angeles Rams Offense,-0.5594301274,0.3137850157
2016,5,20,New Orleans Saints Offense,-0.6870558499,0.2855884154
2016,5,15,Jacksonville Jaguars Offense,-0.6972282441,0.2833410084
2016,5,25,Pittsburgh Steelers Offense,-0.7046737395,0.2816960606
2016,5,2,Atlanta Falcons Offense,-0.8022134539,0.2601464209
2016,5,18,Minnesota Vikings Offense,-0.856673704,0.2481144114
2016,5,24,Philadelphia Eagles Offense,-0.8646336416,0.2463558068
2016,5,6,Chicago Bears Offense,-0.8769728808,0.2436296746
2016,5,5,Carolina Panthers Offense,-0.8914090643,0.2404402603
2016,5,27,Los Angeles Chargers Offense,-1.008792982,0.2145064019
2016,5,11,Detroit Lions Offense,-1.009490194,0.2143523655
2016,5,7,Cincinnati Bengals Offense,-1.074342252,0.2000244736
2016,5,32,Washington Commanders Offense,-1.1284984,0.1880596501
2016,5,30,Tampa Bay Buccaneers Offense,-1.14584636,0.1842269313
2016,5,22,New York Jets Offense,-1.177894482,0.177146477
2016,5,3,Baltimore Ravens Offense,-1.191833274,0.1740669524
2016,5,8,Cleveland Browns Offense,-1.205606668,0.1710239697
2016,5,10,Denver Broncos Offense,-1.441746054,0.1188532337
2016,5,1,Arizona Cardinals Offense,-1.510752145,0.103607583
2016,5,16,Kansas City Chiefs Offense,-1.564585597,0.09171405341
2016,5,13,Houston Texans Offense,-1.576214103,0.0891449447
2016,5,14,Indianapolis Colts Offense,-1.689379466,0.06414309994
2016,5,29,Seattle Seahawks Offense,-1.70806652,0.06001453263
2016,5,17,Miami Dolphins Offense,-1.97970913,0
2016,6,50,Minnesota Vikings Defense,2.501618579,1
2016,6,61,Seattle Seahawks Defense,1.702066384,0.8030563254
2016,6,36,Buffalo Bills Defense,1.621038063,0.7830976342
2016,6,44,Green Bay Packers Defense,1.605855347,0.779357866
2016,6,64,Washington Commanders Defense,1.440499621,0.7386278619
2016,6,33,Arizona Cardinals Defense,1.405975754,0.7301240301
2016,6,42,Denver Broncos Defense,1.357568142,0.7182003896
2016,6,52,New Orleans Saints Defense,1.189004986,0.6766803393
2016,6,63,Tennessee Titans Defense,1.168858605,0.6717179337
2016,6,45,Houston Texans Defense,1.134390977,0.6632279549
2016,6,39,Cincinnati Bengals Defense,0.9821077453,0.6257179343
2016,6,56,Philadelphia Eagles Defense,0.933371509,0.6137133478
2016,6,35,Baltimore Ravens Defense,0.9117651227,0.6083913174
2016,6,49,Miami Dolphins Defense,0.8357226375,0.5896607247
2016,6,58,Los Angeles Rams Defense,0.824439538,0.5868815002
2016,6,34,Atlanta Falcons Defense,0.8005521847,0.5809976277
2016,6,60,San Francisco 49ers Defense,0.7899400351,0.5783836699
2016,6,47,Jacksonville Jaguars Defense,0.7698123259,0.5734258635
2016,6,41,Dallas Cowboys Defense,0.725218487,0.5624416219
2016,6,59,Los Angeles Chargers Defense,0.7202196041,0.5612103097
2016,6,40,Cleveland Browns Defense,0.6042445976,0.5326436394
2016,6,53,New York Giants Defense,0.5404728541,0.5169355448
2016,6,37,Carolina Panthers Defense,0.4818909703,0.5025058033
2016,6,54,New York Jets Defense,0.4809974741,0.5022857196
2016,6,43,Detroit Lions Defense,0.4596564825,0.4970290605
2016,6,46,Indianapolis Colts Defense,0.3949217513,0.4810837652
2016,6,38,Chicago Bears Defense,0.3932608739,0.4806746621
2016,6,51,New England Patriots Defense,0.3208262269,0.4628327431
2016,6,48,Kansas City Chiefs Defense,0.3190696368,0.4624000642
2016,6,21,New York Giants Offense,0.2799112071,0.4527546588
2016,6,55,Las Vegas Raiders Defense,0.2632028502,0.4486390986
2016,6,23,Las Vegas Raiders Offense,0.1970337898,0.432340503
2016,6,57,Pittsburgh Steelers Defense,0.1800264951,0.4281513092
2016,6,9,Dallas Cowboys Offense,-0.05914732058,0.3692386198
2016,6,12,Green Bay Packers Offense,-0.05937339428,0.3691829339
2016,6,62,Tampa Bay Buccaneers Defense,-0.07226352924,0.3660078684
2016,6,28,San Francisco 49ers Offense,-0.1600203841,0.3443918219
2016,6,31,Tennessee Titans Offense,-0.1849916626,0.3382409597
2016,6,26,Los Angeles Rams Offense,-0.4240339519,0.2793606676
2016,6,19,New England Patriots Offense,-0.4385125543,0.2757943348
2016,6,4,Buffalo Bills Offense,-0.5111708916,0.257897317
2016,6,25,Pittsburgh Steelers Offense,-0.6394968793,0.2262883842
2016,6,15,Jacksonville Jaguars Offense,-0.7827325002,0.1910069483
2016,6,22,New York Jets Offense,-0.8337627537,0.1784373053
2016,6,32,Washington Commanders Offense,-0.8565900891,0.1728145338
2016,6,18,Minnesota Vikings Offense,-0.8904565893,0.1644726231
2016,6,20,New Orleans Saints Offense,-0.9087558673,0.1599651912
2016,6,6,Chicago Bears Offense,-0.9156199445,0.1582744491
2016,6,27,Los Angeles Chargers Offense,-1.038147551,0.1280937588
2016,6,11,Detroit Lions Offense,-1.048015063,0.1256632184
2016,6,5,Carolina Panthers Offense,-1.102483934,0.1122465838
2016,6,3,Baltimore Ravens Offense,-1.119376115,0.1080857445
2016,6,7,Cincinnati Bengals Offense,-1.135120973,0.1042075109
2016,6,2,Atlanta Falcons Offense,-1.167019983,0.09635022743
2016,6,24,Philadelphia Eagles Offense,-1.201005786,0.08797893037
2016,6,30,Tampa Bay Buccaneers Offense,-1.305271942,0.06229635442
2016,6,16,Kansas City Chiefs Offense,-1.32038352,0.05857410886
2016,6,13,Houston Texans Offense,-1.352378721,0.05069313178
2016,6,1,Arizona Cardinals Offense,-1.365873865,0.04736904198
2016,6,29,Seattle Seahawks Offense,-1.432413826,0.03097908714
2016,6,17,Miami Dolphins Offense,-1.456833408,0.02496411756
2016,6,8,Cleveland Browns Offense,-1.46321338,0.02339261901
2016,6,10,Denver Broncos Offense,-1.532891712,0.006229628336
2016,6,14,Indianapolis Colts Offense,-1.558182766,0
2016,7,50,Minnesota Vikings Defense,1.91940706,1
2016,7,61,Seattle Seahawks Defense,1.691980263,0.9334737911
2016,7,64,Washington Commanders Defense,1.469890568,0.8685087757
2016,7,44,Green Bay Packers Defense,1.422553703,0.854661937
2016,7,56,Philadelphia Eagles Defense,1.400081927,0.8480885603
2016,7,36,Buffalo Bills Defense,1.175294758,0.7823344877
2016,7,42,Denver Broncos Defense,1.17046626,0.7809220699
2016,7,33,Arizona Cardinals Defense,1.166408058,0.7797349766
2016,7,39,Cincinnati Bengals Defense,1.123204953,0.7670973333
2016,7,63,Tennessee Titans Defense,1.093438069,0.7583900131
2016,7,49,Miami Dolphins Defense,1.000911045,0.7313242837
2016,7,35,Baltimore Ravens Defense,1.000374835,0.7311674334
2016,7,59,Los Angeles Chargers Defense,0.9675779538,0.7215737874
2016,7,34,Atlanta Falcons Defense,0.9326159271,0.7113467995
2016,7,45,Houston Texans Defense,0.8773535017,0.6951815996
2016,7,58,Los Angeles Rams Defense,0.8666863126,0.6920612653
2016,7,38,Chicago Bears Defense,0.8282898184,0.6808296372
2016,7,52,New Orleans Saints Defense,0.7957359963,0.6713070903
2016,7,46,Indianapolis Colts Defense,0.7178617351,0.6485275435
2016,7,47,Jacksonville Jaguars Defense,0.6895371774,0.6402421284
2016,7,40,Cleveland Browns Defense,0.6842169737,0.6386858782
2016,7,60,San Francisco 49ers Defense,0.6840951654,0.6386502472
2016,7,43,Detroit Lions Defense,0.6420069483,0.6263387275
2016,7,41,Dallas Cowboys Defense,0.5630216703,0.6032341894
2016,7,53,New York Giants Defense,0.5275224253,0.5928500561
2016,7,54,New York Jets Defense,0.5017432878,0.5853092196
2016,7,37,Carolina Panthers Defense,0.3919048249,0.5531795999
2016,7,57,Pittsburgh Steelers Defense,0.3553545426,0.5424880203
2016,7,48,Kansas City Chiefs Defense,0.3492420671,0.5407000172
2016,7,55,Las Vegas Raiders Defense,0.3338638891,0.5362016384
2016,7,51,New England Patriots Defense,0.2901463521,0.5234135148
2016,7,23,Las Vegas Raiders Offense,0.2436265323,0.5098056758
2016,7,62,Tampa Bay Buccaneers Defense,0.1760707033,0.4900444461
2016,7,9,Dallas Cowboys Offense,-0.008577294536,0.4360317643
2016,7,21,New York Giants Offense,-0.02883925064,0.4301047973
2016,7,31,Tennessee Titans Offense,-0.4046717067,0.3201674077
