year,weekssofar,ID,name,massey,normalizedMassey
2013,4,63,Tennessee Titans Defense,-4.752345147,0.2222645255
2013,4,38,Chicago Bears Defense,-4.810974824,0.2198151641
2013,4,57,Pittsburgh Steelers Defense,-4.837959508,0.2186878298
2013,4,59,Los Angeles Chargers Defense,-4.850010637,0.2181843719
2013,4,41,Dallas Cowboys Defense,-5.334526908,0.197942823
2013,4,42,Denver Broncos Defense,-5.581215615,0.1876369533
2013,4,43,Detroit Lions Defense,-5.649341239,0.1847908814
2013,4,51,New England Patriots Defense,-5.783623219,0.1791810073
2013,4,53,New York Giants Defense,-6.189016405,0.1622449693
2013,4,64,Washington Commanders Defense,-6.705845736,0.1406534834
2013,4,50,Minnesota Vikings Defense,-7.45046145,0.1095458069
2013,4,45,Houston Texans Defense,-7.689072114,0.09957741218
2013,4,47,Jacksonville Jaguars Defense,-8.017650844,0.08585043783
2013,4,44,Green Bay Packers Defense,-8.119414814,0.08159906278
2013,4,34,Atlanta Falcons Defense,-8.685139834,0.05796487057
2013,4,56,Philadelphia Eagles Defense,-8.725239677,0.05628962664
2013,4,35,Baltimore Ravens Defense,-8.791922246,0.05350384097
2013,4,60,San Francisco 49ers Defense,-10.07262866,0
2013,5,10,Denver Broncos Offense,15.38877985,1
2013,5,3,Baltimore Ravens Offense,12.20164886,0.8699648444
2013,5,28,San Francisco 49ers Offense,11.61669295,0.8460986044
2013,5,2,Atlanta Falcons Offense,9.498352011,0.7596701536
2013,5,29,Seattle Seahawks Offense,9.441495113,0.7573503884
2013,5,12,Green Bay Packers Offense,8.819251606,0.731962812
2013,5,19,New England Patriots Offense,8.184328895,0.7060579234
2013,5,9,Dallas Cowboys Offense,7.528908178,0.6793167146
2013,5,20,New Orleans Saints Offense,7.000529717,0.6577588384
2013,5,6,Chicago Bears Offense,6.275463082,0.6281760716
2013,5,18,Minnesota Vikings Offense,5.826635779,0.6098638879
2013,5,27,Los Angeles Chargers Offense,5.732085822,0.6060062434
2013,5,24,Philadelphia Eagles Offense,5.550347124,0.5985912925
2013,5,13,Houston Texans Offense,5.505276564,0.5967524106
2013,5,14,Indianapolis Colts Offense,5.484447786,0.5959025951
2013,5,11,Detroit Lions Offense,4.752307838,0.5660312367
2013,5,4,Buffalo Bills Offense,4.418003293,0.5523915891
2013,5,32,Washington Commanders Offense,4.257555915,0.5458453254
2013,5,31,Tennessee Titans Offense,4.216125119,0.5441549462
2013,5,7,Cincinnati Bengals Offense,4.184606214,0.5428689728
2013,5,17,Miami Dolphins Offense,3.70241573,0.5231955691
2013,5,5,Carolina Panthers Offense,3.643432961,0.5207890682
2013,5,16,Kansas City Chiefs Offense,3.630878304,0.5202768374
2013,5,8,Cleveland Browns Offense,3.509621612,0.5153295563
2013,5,23,Las Vegas Raiders Offense,3.44710999,0.512779078
2013,5,21,New York Giants Offense,3.038483284,0.4961070813
2013,5,26,Los Angeles Rams Offense,2.988743934,0.4940777125
2013,5,22,New York Jets Offense,2.620074952,0.4790359936
2013,5,25,Pittsburgh Steelers Offense,1.950463984,0.4517158217
2013,5,1,Arizona Cardinals Offense,1.841085256,0.4472531624
2013,5,30,Tampa Bay Buccaneers Offense,1.491023413,0.432970616
2013,5,15,Jacksonville Jaguars Offense,0.4810970418,0.3917655531
2013,5,37,Carolina Panthers Defense,-1.171319769,0.3243468377
2013,5,48,Kansas City Chiefs Defense,-1.695608759,0.3029558121
2013,5,62,Tampa Bay Buccaneers Defense,-2.677043335,0.2629132164
2013,5,52,New Orleans Saints Defense,-2.937060655,0.2523044925
2013,5,39,Cincinnati Bengals Defense,-2.950230948,0.2517671436
2013,5,40,Cleveland Browns Defense,-3.350351433,0.2354422013
2013,5,33,Arizona Cardinals Defense,-3.728796853,0.2200016031
2013,5,49,Miami Dolphins Defense,-3.864628673,0.2144596558
2013,5,61,Seattle Seahawks Defense,-3.872098826,0.2141548731
2013,5,46,Indianapolis Colts Defense,-3.972912508,0.2100416682
2013,5,57,Pittsburgh Steelers Defense,-4.064942794,0.2062868265
2013,5,55,Las Vegas Raiders Defense,-4.412844722,0.1920924047
2013,5,51,New England Patriots Defense,-5.16875918,0.1612510447
2013,5,54,New York Jets Defense,-5.183729049,0.1606402731
2013,5,59,Los Angeles Chargers Defense,-5.350116065,0.1538516718
2013,5,58,Los Angeles Rams Defense,-5.646135759,0.1417740486
2013,5,63,Tennessee Titans Defense,-5.6692751,0.140829962
2013,5,64,Washington Commanders Defense,-5.879172453,0.1322661361
2013,5,38,Chicago Bears Defense,-5.938697145,0.1298375247
2013,5,43,Detroit Lions Defense,-5.941173496,0.1297364894
2013,5,36,Buffalo Bills Defense,-6.225139479,0.1181506585
2013,5,41,Dallas Cowboys Defense,-6.754183842,0.09656561339
2013,5,42,Denver Broncos Defense,-7.16689274,0.07972706301
2013,5,50,Minnesota Vikings Defense,-7.324020217,0.07331625153
2013,5,53,New York Giants Defense,-7.339977612,0.07266518877
2013,5,44,Green Bay Packers Defense,-7.672372315,0.05910346284
2013,5,45,Houston Texans Defense,-8.154156565,0.03944663351
2013,5,35,Baltimore Ravens Defense,-8.307510758,0.03318977227
2013,5,60,San Francisco 49ers Defense,-8.529337587,0.02413922296
2013,5,56,Philadelphia Eagles Defense,-9.066883803,0.002207301709
2013,5,34,Atlanta Falcons Defense,-9.090915502,0.001226806783
2013,5,47,Jacksonville Jaguars Defense,-9.120984247,0
2013,6,10,Denver Broncos Offense,16.15488737,1
2013,6,28,San Francisco 49ers Offense,11.81623636,0.8329920377
2013,6,3,Baltimore Ravens Offense,11.08115777,0.8046966119
2013,6,2,Atlanta Falcons Offense,9.123016197,0.7293217471
2013,6,29,Seattle Seahawks Offense,8.949402926,0.7226388407
2013,6,19,New England Patriots Offense,8.508502183,0.7056672211
2013,6,12,Green Bay Packers Offense,8.20176161,0.6938598372
2013,6,20,New Orleans Saints Offense,7.804089149,0.6785522065
2013,6,9,Dallas Cowboys Offense,7.778887413,0.6775821145
2013,6,6,Chicago Bears Offense,7.050602265,0.6495481891
2013,6,24,Philadelphia Eagles Offense,6.836508532,0.6413070658
2013,6,27,Los Angeles Chargers Offense,6.069275861,0.6117739311
2013,6,18,Minnesota Vikings Offense,5.87972726,0.604477625
2013,6,4,Buffalo Bills Offense,5.452527995,0.5880334172
2013,6,11,Detroit Lions Offense,5.323787759,0.5830778113
2013,6,14,Indianapolis Colts Offense,5.168667439,0.5771067552
2013,6,13,Houston Texans Offense,5.109810127,0.5748411571
2013,6,16,Kansas City Chiefs Offense,4.846341487,0.5646994424
2013,6,7,Cincinnati Bengals Offense,4.780501579,0.5621650627
2013,6,5,Carolina Panthers Offense,4.761835967,0.5614465661
2013,6,32,Washington Commanders Offense,4.712983783,0.559566096
2013,6,31,Tennessee Titans Offense,4.470382987,0.5502276485
2013,6,26,Los Angeles Rams Offense,4.270057992,0.5425165261
2013,6,8,Cleveland Browns Offense,3.968198485,0.5308970293
2013,6,21,New York Giants Offense,3.380088738,0.5082588844
2013,6,17,Miami Dolphins Offense,3.270756567,0.5040503544
2013,6,23,Las Vegas Raiders Offense,2.975707818,0.4926930246
2013,6,25,Pittsburgh Steelers Offense,2.545568376,0.4761356404
2013,6,22,New York Jets Offense,2.461447356,0.4728975647
2013,6,1,Arizona Cardinals Offense,2.41312394,0.4710374485
2013,6,30,Tampa Bay Buccaneers Offense,1.330350831,0.4293581961
2013,6,15,Jacksonville Jaguars Offense,0.9588194093,0.415056814
2013,6,37,Carolina Panthers Defense,-1.157330349,0.3335997302
2013,6,48,Kansas City Chiefs Defense,-1.858011787,0.3066283562
2013,6,62,Tampa Bay Buccaneers Defense,-3.049636254,0.2607590817
2013,6,39,Cincinnati Bengals Defense,-3.416028933,0.2466555056
2013,6,61,Seattle Seahawks Defense,-3.627466637,0.2385166209
2013,6,49,Miami Dolphins Defense,-3.745356588,0.2339786758
2013,6,52,New Orleans Saints Defense,-3.777998652,0.2327221828
2013,6,57,Pittsburgh Steelers Defense,-3.945804629,0.2262628169
2013,6,33,Arizona Cardinals Defense,-4.228821469,0.2153686321
2013,6,40,Cleveland Browns Defense,-4.25827517,0.214234869
2013,6,46,Indianapolis Colts Defense,-4.395364019,0.2089578994
2013,6,55,Las Vegas Raiders Defense,-4.457996877,0.2065469689
2013,6,59,Los Angeles Chargers Defense,-5.172787195,0.1790325009
2013,6,54,New York Jets Defense,-5.727308993,0.157687259
2013,6,43,Detroit Lions Defense,-5.765783082,0.1562062735
2013,6,58,Los Angeles Rams Defense,-5.766876917,0.1561641684
2013,6,63,Tennessee Titans Defense,-5.905588885,0.15082472
2013,6,41,Dallas Cowboys Defense,-6.046758945,0.1453906522
2013,6,51,New England Patriots Defense,-6.162346573,0.1409413304
2013,6,38,Chicago Bears Defense,-6.418616875,0.1310767018
2013,6,64,Washington Commanders Defense,-6.840170867,0.1148497979
2013,6,44,Green Bay Packers Defense,-7.027020183,0.1076573956
2013,6,36,Buffalo Bills Defense,-7.49110411,0.0897933842
2013,6,42,Denver Broncos Defense,-7.724789303,0.08079812555
2013,6,35,Baltimore Ravens Defense,-7.742080932,0.08013251781
2013,6,53,New York Giants Defense,-7.795653583,0.07807034244
2013,6,60,San Francisco 49ers Defense,-8.538149157,0.04948941427
2013,6,50,Minnesota Vikings Defense,-8.540782689,0.04938804159
2013,6,34,Atlanta Falcons Defense,-8.627677121,0.04604320881
2013,6,45,Houston Texans Defense,-9.176767289,0.02490704695
2013,6,56,Philadelphia Eagles Defense,-9.24283928,0.02236373368
2013,6,47,Jacksonville Jaguars Defense,-9.823820177,0
2013,7,10,Denver Broncos Offense,17.18220822,1
2013,7,28,San Francisco 49ers Offense,11.96830898,0.803942857
2013,7,3,Baltimore Ravens Offense,10.21405633,0.7379780684
2013,7,2,Atlanta Falcons Offense,9.829036589,0.723500253
2013,7,29,Seattle Seahawks Offense,9.635502317,0.716222825
2013,7,12,Green Bay Packers Offense,8.838236264,0.6862433994
2013,7,19,New England Patriots Offense,8.574074253,0.6763101715
2013,7,6,Chicago Bears Offense,8.061696769,0.6570433501
2013,7,9,Dallas Cowboys Offense,7.663271801,0.6420614609
2013,7,20,New Orleans Saints Offense,6.886943015,0.6128693348
2013,7,32,Washington Commanders Offense,6.810682353,0.6100017214
2013,7,27,Los Angeles Chargers Offense,6.74070138,0.6073702418
2013,7,14,Indianapolis Colts Offense,6.431037265,0.595726008
2013,7,24,Philadelphia Eagles Offense,6.161377093,0.585586034
2013,7,11,Detroit Lions Offense,6.035541454,0.5808542633
2013,7,4,Buffalo Bills Offense,6.000551501,0.5795385435
2013,7,7,Cincinnati Bengals Offense,5.422825006,0.5578144171
2013,7,13,Houston Texans Offense,5.212339217,0.5498995649
2013,7,18,Minnesota Vikings Offense,5.195019878,0.5492483094
2013,7,5,Carolina Panthers Offense,5.071291891,0.5445957923
2013,7,16,Kansas City Chiefs Offense,5.036155902,0.5432745812
2013,7,26,Los Angeles Rams Offense,4.826723978,0.5353993571
2013,7,31,Tennessee Titans Offense,4.570766142,0.5257746291
2013,7,21,New York Giants Offense,4.013402428,0.5048162001
