season,weeksofar,teamID,team,massey,normalizedMassey
2013,8,17,Miami Dolphins,-0.4603161713,0.5079897326
2013,8,23,Las Vegas Raiders,-0.5681822731,0.4972031224
2013,8,2,Atlanta Falcons,-0.5916354808,0.4948578017
2013,8,8,Cleveland Browns,-1.190036667,0.435017683
2013,8,26,Los Angeles Rams,-1.289796165,0.4250417333
2013,8,13,Houston Texans,-1.455995,0.4084218497
2013,8,32,Washington Commanders,-1.536822125,0.4003391372
2013,8,25,Pittsburgh Steelers,-1.582296109,0.3957917389
2013,8,31,Tennessee Titans,-1.606332248,0.3933881249
2013,8,24,Philadelphia Eagles,-1.772164025,0.3768049472
2013,8,4,Buffalo Bills,-1.855418737,0.368479476
2013,8,21,New York Giants,-1.862466491,0.3677747007
2013,8,22,New York Jets,-2.271674302,0.3268539196
2013,8,18,Minnesota Vikings,-2.590021984,0.2950191514
2013,8,30,Tampa Bay Buccaneers,-2.903341641,0.2636871856
2013,8,15,Jacksonville Jaguars,-5.540213497,0
2013,9,10,Denver Broncos,4.259978403,1
2013,9,16,Kansas City Chiefs,3.430348807,0.9170370404
2013,9,29,Seattle Seahawks,3.159746836,0.8899768432
2013,9,28,San Francisco 49ers,2.930732165,0.8670753762
2013,9,5,Carolina Panthers,2.214196046,0.7954217643
2013,9,20,New Orleans Saints,1.844662469,0.7584684066
2013,9,19,New England Patriots,1.644015338,0.7384036935
2013,9,14,Indianapolis Colts,1.635459278,0.7375480874
2013,9,3,Baltimore Ravens,1.538037131,0.7278058728
2013,9,12,Green Bay Packers,1.477467693,0.721748929
2013,9,7,Cincinnati Bengals,1.422724789,0.7162746386
2013,9,9,Dallas Cowboys,1.300957852,0.7040979448
2013,9,11,Detroit Lions,0.6493665739,0.6389388171
2013,9,6,Chicago Bears,0.2322497404,0.5972271337
2013,9,27,Los Angeles Chargers,0.2101770698,0.5950198666
2013,9,17,Miami Dolphins,-0.2955427591,0.5444478838
2013,9,1,Arizona Cardinals,-0.3702863328,0.5369735264
2013,9,8,Cleveland Browns,-0.6850649988,0.5054956598
2013,9,32,Washington Commanders,-0.8557370724,0.4884284524
2013,9,24,Philadelphia Eagles,-0.9268218988,0.4813199698
2013,9,23,Las Vegas Raiders,-0.9766976924,0.4763323904
2013,9,31,Tennessee Titans,-1.018940568,0.4721081028
2013,9,2,Atlanta Falcons,-1.182381623,0.4557639973
2013,9,13,Houston Texans,-1.336010895,0.4404010702
2013,9,22,New York Jets,-1.578286405,0.4161735191
2013,9,21,New York Giants,-1.629918888,0.4110102708
2013,9,26,Los Angeles Rams,-1.763572231,0.3976449366
2013,9,25,Pittsburgh Steelers,-1.987027401,0.3752994195
2013,9,4,Buffalo Bills,-1.999945172,0.3740076425
2013,9,18,Minnesota Vikings,-2.747518923,0.2992502674
2013,9,30,Tampa Bay Buccaneers,-2.856345734,0.2883675862
2013,9,15,Jacksonville Jaguars,-5.740021597,0
2013,10,10,Denver Broncos,4.548694093,1
2013,10,16,Kansas City Chiefs,3.755823985,0.9207129892
2013,10,29,Seattle Seahawks,3.562999937,0.9014305844
2013,10,28,San Francisco 49ers,3.021065511,0.8472371418
2013,10,20,New Orleans Saints,2.590160863,0.804146677
2013,10,5,Carolina Panthers,2.414942993,0.78662489
2013,10,19,New England Patriots,1.612197421,0.7063503329
2013,10,3,Baltimore Ravens,1.523493191,0.6974799098
2013,10,7,Cincinnati Bengals,1.238603161,0.6689909068
2013,10,9,Dallas Cowboys,0.9797410982,0.6431047006
2013,10,11,Detroit Lions,0.9406096687,0.6391915576
2013,10,12,Green Bay Packers,0.858214149,0.6309520056
2013,10,14,Indianapolis Colts,0.7922229625,0.624352887
2013,10,6,Chicago Bears,0.3987544779,0.5850060385
2013,10,27,Los Angeles Chargers,0.04811287804,0.5499418785
2013,10,1,Arizona Cardinals,0.02256664299,0.547387255
2013,10,24,Philadelphia Eagles,-0.2089216909,0.5242384216
2013,10,17,Miami Dolphins,-0.4848787549,0.4966427152
2013,10,8,Cleveland Browns,-0.7415633957,0.4709742512
2013,10,23,Las Vegas Raiders,-1.234927362,0.4216378545
2013,10,21,New York Giants,-1.258176738,0.4193129169
2013,10,26,Los Angeles Rams,-1.262873841,0.4188432066
2013,10,32,Washington Commanders,-1.344542429,0.4106763478
2013,10,2,Atlanta Falcons,-1.367643695,0.4083662212
2013,10,31,Tennessee Titans,-1.643412064,0.3807893844
2013,10,13,Houston Texans,-1.680894595,0.3770411312
2013,10,22,New York Jets,-1.851785858,0.3599520049
2013,10,25,Pittsburgh Steelers,-1.861943927,0.358936198
